Q4.1,Q90,Q90_4_TEXT,Q91,Q5.1,Q5_9_TEXT,Q6,Q7,Q8,Q9,Q10,Q12,Q13,Q14,Q16,Q18,Q19,Q20,Q20_1_TEXT,Q21,Q22,Q24,Q25,Q23,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q31,Q33,Q34,Q36,Q37_1,Q37_2,Q39_1,Q39_2,Q39_3,Q39_4,Q39_5,Q39_6,Q39_7,Q39_8,Q39_9,Q40,Q40_7_TEXT,Q41,Q42_1,Q42_2,Q42_3,Q44_1,Q44_2,Q44_3,Q44_4,Q44_5,Q44_6,Q44_7,Q44_8,Q44_9,Q46_1,Q46_2,Q46_3,Q46_4,Q46_5,Q46_6,Q46_7,Q47,Q48,Q67,Q95,Q102,Q93_1,Q93_2,Q58,Q68,Q59,Q60,Q61_1,Q61_2,Q61_3,Q96_1,Q96_2,Q96_3,Q96_4,Q96_5,Q96_6,Q96_7,Q96_8,Q96_9,Q70,Q65_1,Q65_2,Q65_3,Q65_4,Q65_5,Q65_6,Q65_7,Q65_8,Q65_9,Q66.1,Q66_8_TEXT,Q71,Q67.1,Q84,Q84_8_TEXT,Q88,Q89
45-54,Male,,No,White or European descent,,Full-time employment,48000,"Staying with someone else (family, friend)",Marpole,Roommate(s),No,1,Cat,I use drugs once a week,Cannabis,Smoking/inhalation,No,,"At home,At a friend/partner/relative's home",No,,Yes,Lock in the drawer,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Sometimes,About half the time,About half the time,Sometimes,Most of the time,About half the time,n/a,Option 2: I have experienced an animal emergency where my pet has accidentally ingested drugs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once,,Cannabis,Somewhat disagree,Somewhat disagree,Went to a local veterinary clinic,Treated at the vet/veterinary hospital,"It was convenient/close by,I had a prior relationship with the veterinarian or healthcare staff",No,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Extremely good,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,"Maintaining a friendly demeanor,Providing assurance that accidents happen",,Neither agree nor disagree,n/a,,,,
25-34,Female,,No,Black,,"Part-time employment,Financial aid/Benefits",35000,"Staying with someone else (family, friend)",Oakridge,Parent(s),No,1,Cat,I use drugs once a week,"Cannabis,Cocaine","Smoking/inhalation,Oral consumption",No,,"At home,At a friend/partner/relative's home",No,,No,,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Sometimes,Most of the time,Sometimes,About half the time,Sometimes,Most of the time,n/a,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,aspirin,Moderately concerned,Somewhat agree,Strongly disagree,2,1,6,5,7,4,3,8,9,"It is convenient/close by,I DO NOT have a prior relationship with the veterinarian of health care staff",,Moderately concerned,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"Avoiding non-incriminatory questions,Maintaining a friendly demeanor",n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65+,Male,,No,Black,,"Financial aid/Benefits,Retired",45000,House,South Cambie,I do not live with other people,No,2,Cat,I have used drugs once or twice a month for the past six months,Cannabis,Smoking/inhalation,No,,At home,,,No,,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,About half the time,About half the time,Sometimes,Sometimes,About half the time,Most of the time,n/a,Option 2: I have experienced an animal emergency where my pet has accidentally ingested drugs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-5 times,Cannabis,Cannabis,Neither agree nor disagree,Somewhat disagree,Went to a local veterinary clinic,Treated at the vet/veterinary hospital,"It was convenient/close by,The cost of the treatment",No,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat good,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,"Emphasizing a commitment to helping your animal,Providing assurance that accidents happen,Being knowledgeable about drugs and their effects",,Somewhat agree,n/a,,,,
45-54,Male,,No,Black,,"Financial aid/Benefits,Retired",37000,Apartment/condo,UBC/West Point Grey,I do not live with other people,No,3,Cat,I have used drugs once or twice a month for the past six months,Cannabis,Smoking/inhalation,No,,At a friend/partner/relative's home,,,No,,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,About half the time,Sometimes,About half the time,About half the time,Most of the time,Most of the time,n/a,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,aspirin,Somewhat concerned,Neither agree nor disagree,Somewhat agree,2,1,7,8,5,6,3,9,4,"It is open/available at the time of the emergency,It is convenient/close by",,Quite concerned,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,"Avoiding non-incriminatory questions,Providing assurance that accidents happen",n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-34,Female,,No,White or European descent,,Full-time employment,73000,Rented apartment/condo,Kensington-Cedar Cottage,Partner/spouse,No,2,Cat,I use drugs every day,"Cannabis,Hallucinogens","Smoking/inhalation,Oral consumption",No,,"At home,At a friend/partner/relative's home,Outside or in a public place",Yes,,No,,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Never,Never,Never,Never,Sometimes,Never,I do not face any stigmas as a drug user,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,Cannabis,Extremely concerned,Somewhat agree,Somewhat agree,4,3,2,1,7,8,9,6,5,"It is open/available at the time of the emergency,I am confident in the veterinary or health care staff knowledge of the situation",,Not at all concerned,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,"Using respectful language,Avoiding non-incriminatory questions,Emphasizing a commitment to helping your animal,Discussing patient-vet confidentiality,Maintaining a friendly demeanor,Providing assurance that accidents happen,Being knowledgeable about drugs and their effects",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-24,Prefer to self-identify,Two-spirit,Yes,"Black,First Nations or Indigenous",,Student,20000,Rented apartment/condo,UBC/West Point Grey,Partner/spouse,No,1,Cat,I use drugs multiple times a week,"Cannabis,Hallucinogens","Smoking/inhalation,Oral consumption",No,,"At home,At a friend/partner/relative's home",Yes,,Yes,"The weed I buy from the dispensary is in a difficult to open container already, which I store in a glass jar, and then in a drawer in my desk or in my closet ",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Never,Sometimes,Never,Never,Sometimes,Never,,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,Cannabis,Quite concerned,Strongly agree,Somewhat agree,1,4,3,2,5,6,7,8,9,It is open/available at the time of the emergency,,Not at all concerned,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,"Using respectful language,Emphasizing a commitment to helping your animal,Discussing patient-vet confidentiality,Maintaining a friendly demeanor,Providing assurance that accidents happen,Being knowledgeable about drugs and their effects",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-34,Male,,No,Black,,Part-time employment,40000,"Staying with someone else (family, friend)",West End,Parent(s),Dependent adult(s),1,Cat,I have used drugs once or twice in the past six months,Cannabis,Smoking/inhalation,No,,"At home,At a safe injection site",No,Quite concerned,Yes,Keep other people away.,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,About half the time,Most of the time,Always,About half the time,Sometimes,Always,I don't really want to reveal it.,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,marijuana,Quite concerned,Somewhat agree,Neither agree nor disagree,2,4,3,1,7,6,5,8,9,I DO NOT have a prior relationship with the veterinarian of health care staff,,Quite concerned,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,"Using respectful language,Avoiding non-incriminatory questions,Emphasizing a commitment to helping your animal",Fear of being reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-34,Female,,No,"Hispanic or Latin American,White or European descent",,Part-time employment,70000,Rented apartment/condo,Richmond,Roommate(s),No,1,Dog,I use drugs once a week,"Cannabis,Hallucinogens,Amphetamines,Inhalants","Smoking/inhalation,Injection",No,,"At home,At a safe injection site",Yes,,Yes,,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Most of the time,Sometimes,Sometimes,About half the time,Sometimes,Sometimes,,Option 2: I have experienced an animal emergency where my pet has accidentally ingested drugs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once,,Hallucinogens,Somewhat agree,Neither agree nor disagree,Called an animal poison information line (ex. APSCA Animal Poison Control),Treated at home with advice from a veterinarian,I had a prior relationship with the veterinarian or healthcare staff,Yes,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat good,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,"Avoiding non-incriminatory questions,Emphasizing a commitment to helping your animal,Maintaining a friendly demeanor,Providing assurance that accidents happen",,Somewhat agree,,,,,
25-34,Male,,No,White or European descent,,Full-time employment,80000,Rented apartment/condo,Riley Park,Partner/spouse,No,1,Dog,I use drugs once a week,"Cannabis,Cocaine","Smoking/inhalation,Injection",No,,"At home,At a safe injection site",No,,Yes,I locked them in the cabinet,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Sometimes,Sometimes,Most of the time,Most of the time,About half the time,Most of the time,,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,Marijuana,Somewhat concerned,Somewhat agree,Somewhat agree,8,1,9,6,7,5,2,3,4,"It is open/available at the time of the emergency,I am confident in the veterinary or health care staff knowledge of the situation",,Moderately concerned,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,"Using respectful language,Emphasizing a commitment to helping your animal,Discussing patient-vet confidentiality,Maintaining a friendly demeanor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-44,Male,,No,Black,,Full-time employment,4000,"Staying with someone else (family, friend)",Downtown,Partner/spouse,Children (yours or someone else's),2,"Dog,Cat",I have used drugs once or twice a month for the past six months,"Cannabis,Cocaine","Smoking/inhalation,Injection",No,,At home,No,Somewhat concerned,Yes,Put it where they can't find it and use it when no one else is around,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,"When I meet with shame, I should try my best to keep calm. In fact, I don't want to take drugs, but I have been addicted to drugs. Sometimes I feel miserable, and I just want more people who care about me to help me quit",Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,methadone,Quite concerned,Somewhat agree,Somewhat agree,1,2,3,6,7,4,5,8,9,"It is open/available at the time of the emergency,It is convenient/close by,I DO NOT have a prior relationship with the veterinarian of health care staff,The cost of the treatment",,Extremely concerned,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,"Using respectful language,Avoiding non-incriminatory questions,Emphasizing a commitment to helping your animal,Discussing patient-vet confidentiality,Maintaining a friendly demeanor,Being knowledgeable about drugs and their effects","I am afraid that people will not give medical treatment to my pet because of my drug addiction. I am also afraid that people will know that I am a drug addict, and then I will suffer discrimination or be reported",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-44,Female,,No,Black,,Full-time employment,65000,Apartment/condo,West End,Partner/spouse,Children (yours or someone else's),2,"Dog,Cat",I use drugs multiple times a week,Cannabis,Smoking/inhalation,No,,Outside or in a public place,No,Extremely concerned,Yes,"I always go outside to smoke drugs, like somewhere in the park.",Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Most of the time,Always,Most of the time,Most of the time,About half the time,Always,"When I'm out in public, I worry about my drug onset.",Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,marijuana,Extremely concerned,Neither agree nor disagree,Somewhat agree,9,8,6,3,4,5,7,2,1,"I have a prior relationship with the veterinarian or healthcare staff,The cost of the treatment",,Quite concerned,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,"Using respectful language,Emphasizing a commitment to helping your animal,Discussing patient-vet confidentiality,Maintaining a friendly demeanor",I am worried that the doctor will report me after knowing the truth.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-44,Male,,No,Black,,"Part-time employment,Unemployed",40000,"Staying with someone else (family, friend)",Dunbar-Southlands,Roommate(s),No,1,Dog,I use drugs once a week,Amphetamines,Smoking/inhalation,No,,"At home,At a safe injection site",No,,Yes,Hide in a hidden place,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Sometimes,Sometimes,About half the time,About half the time,About half the time,Most of the time,Don't want to say more,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,Crystal meth,Somewhat concerned,Neither agree nor disagree,Neither agree nor disagree,6,5,2,7,3,4,9,8,1,"I am confident in the veterinary or health care staff knowledge of the situation,The cost of the treatment",,Somewhat concerned,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"Using respectful language,Avoiding non-incriminatory questions,Maintaining a friendly demeanor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-34,Male,,No,Black,,Unemployed,20000,Apartment/condo,Shaughnessy,I do not live with other people,No,1,Dog,I use drugs multiple times a week,Amphetamines,Smoking/inhalation,No,,At home,No,,Yes,Hide in a hiding place,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Most of the time,About half the time,Most of the time,About half the time,About half the time,Always,Don't want to describe,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,,Somewhat concerned,Neither agree nor disagree,Neither agree nor disagree,7,5,1,6,3,8,9,2,4,The cost of the treatment,,Somewhat concerned,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,"Using respectful language,Emphasizing a commitment to helping your animal,Providing assurance that accidents happen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-44,Female,,No,White or European descent,,Financial aid/Benefits,11986,SRO,Downtown,Roommate(s),No,2,Dog,I use drugs multiple times a day,"Cannabis,Hallucinogens,Amphetamines,Depressants,Cocaine,Opioids","Smoking/inhalation,Snorting,Injection,Oral consumption",No,,"At home,At a friend/partner/relative's home,Outside or in a public place",Yes,,Yes,I use child proof pill bottles and I keep them on me or in my purse all the time ,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Most of the time,Sometimes,Sometimes,Never,Sometimes,Never,,Option 2: I have experienced an animal emergency where my pet has accidentally ingested drugs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6-9 times,"Amphetamines,Depressants,Opioids",Opioids,Somewhat agree,Strongly agree,Researched treatment online and/or treat your animal at home,Treated at home without advice from a veterinarian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Confidence in your knowledge and ability to handle the emergency,,Providing assurance that accidents happen,
